people_ID,infect_prob
5942,53.08
18664,52.65
5603,52.8
5649,52.63
5099,52.67
18749,51.83
5228,52.92
5559,52.94
5220,53.1
5476,51.49
5260,52.71
17638,51.92
18635,63.61
18794,51.84
5263,63.85
17680,51.86
18030,52.89
18090,51.06
18455,52.17
18155,63.81
18116,52.53
18144,63.79
5218,53.06
5386,63.26
18105,51.62
5735,51.59
5900,52.36
18391,52.78
5786,51.79
18639,53.42
17984,51.88
18274,52
5425,53.69
6076,52.94
18545,64.85
17697,51.8
6137,52.62
6083,52.58
17730,64.21
5896,52.54
18906,53.21
17808,53.09
6078,51.21
5516,51.7
18093,52.32
6120,52.07
18154,51.67
17935,64.81
18769,52.58
18264,50.22
18076,52.08
18035,51.91
18051,51.59
18676,52.26
5332,64.97
5898,52.57
18370,51.52
17706,52.76
5198,52.02
18360,52.37
18240,52.3
18691,52.92
5768,52.35
18315,52.68
18776,51.91
6225,63.19
17983,54.5
17973,63.97
5805,53.47
5500,52.63
5305,52.32
18243,52.72
5169,53.54
5258,64.05
17810,53.18
5714,53.75
6070,63.3
5959,53.96
18771,52.98
17765,52.68
18822,65.18
17735,52.63
17966,53.16
18861,52.35
18236,64.83
18750,63.14
17809,51.11
6049,51.37
18465,53.19
6201,51.46
18877,52.55
5087,51.43
17742,63.31
17941,52.27
18421,52.08
18489,65.61
6299,51.87
18428,64.61
5563,61.95
18796,52.38
5849,52.08
5661,52.51
5893,63.87
5378,51.92
5622,52.81
5823,50.87
18521,52.48
5502,51.75
18785,52.57
17783,62.64
18424,52.46
18147,63.24
18881,52.14
18851,53.04
17686,52.02
5100,52.42
5213,50.79
18252,52.1
5576,52.54
18050,52.27
5875,51.52
6059,52.44
18599,52.63
5173,53.56
5461,64.46
5151,53.25
5266,63.4
5514,52.84
5224,51.75
18069,52.53
5587,52.57
17874,52.83
5536,52.85
5215,63.88
5400,52.37
17857,63.18
6043,52.3
18330,53.08
18333,52.17
17788,63.32
18332,52.01
17836,52.42
5247,51.53
5922,63.23
18641,65.36
5951,51.43
18807,63.82
18293,54.2
18775,52.54
5601,52.73
5102,50.43
18464,52.03
17713,51.98
18557,51.15
18854,51.43
18401,64.27
18699,64.34
5706,52.5
5747,52.58
5496,53.26
18308,62.88
5345,51.23
18525,63.78
18258,51.32
6062,52.32
17921,51.66
5303,51.04
18592,51.38
5814,52.33
18805,52.66
5910,52.88
5201,64.6
5724,51.49
17693,52.45
5407,51.42
18617,52.95
18173,51.74
18875,52.25
5225,51.36
5858,52.68
5091,52.61
5254,51.87
18801,51.69
6009,51.24
18149,53.49
6105,52.19
5974,63.16
17967,52.32
5781,52.29
5834,51.18
17683,52.29
5338,62.37
18400,51.27
18633,51.73
6162,51.53
18598,52.11
5212,52.45
18731,52.3
18177,64.28
5232,53.88
5753,52.13
5118,62.89
18055,63.83
18151,52.1
5572,54.37
18502,52.49
18178,52.81
6276,64.43
5226,51.25
18411,51.09
6134,52.36
5177,51.4
18031,52.51
17853,51.57
6171,63.86
5725,51.71
6282,52.05
18762,51.14
17909,50.78
18357,51.73
5981,51.47
5862,51.36
18461,51.53
5275,52.36
6084,51.94
18403,52.47
17856,50.79
17723,52.78
6103,51.73
17897,52.55
6042,63.49
6219,62.82
5697,63.24
18636,52.9
5343,51.71
5994,63.35
5956,51.73
5666,51
18791,52.35
5686,51.19
6027,51.34
5751,64.05
18812,52.71
18688,62.61
18441,51.32
5508,52.81
5889,51.8
5843,50.87
5459,50.41
18141,63.29
18757,51.95
6313,62.63
6032,51.18
18475,51.96
17702,51.6
5815,50.94
18816,52.2
18589,49.81
17738,52.51
18553,51.19
5538,50.3
18472,51.65
5453,51.97
18026,51.26
18409,51.04
5444,50.18
17965,51.31
18541,52.29
5371,53.53
6051,51.97
18882,51.78
5108,62.92
6005,51.31
5380,50.79
6151,51.48
18195,52.92
17695,52.11
5101,52.09
5255,52.25
5579,51.63
18509,52.14
5257,63.06
6310,50.51
5431,51.45
17703,52.7
18316,51.4
5174,51.08
18337,52.08
18515,62.65
17993,51.99
6232,53.08
5339,51.87
5972,51.79
6097,51.41
5130,51.48
5934,63.43
17646,51.4
5803,63.67
18134,52.53
18301,50.2
18071,51.66
5973,62.23
17972,62.97
6212,51.82
17886,51.66
18584,62.13
18027,51.24
5093,51.35
5817,51.88
5519,51.68
18127,50.94
6144,52.03
5430,51.49
6179,52.43
5921,50.28
5788,50.18
17960,52.47
5682,52.75
5713,51.93
18735,50.75
18693,53.11
6256,52.19
18064,50.28
18302,51.51
5620,50.53
18010,51.25
18647,51.39
5749,50.78
18286,50.83
5381,52.9
6012,51.6
18043,61.92
18845,50.72
17736,52.9
17919,52.14
5297,50.87
17651,51.33
5109,52.41
5756,52.12
17628,51.13
6237,51.41
18407,52.47
5157,51.19
17902,51.19
18650,51.92
5589,51.33
6010,51.67
18792,50.02
17932,51.03
18568,51.66
17684,51.66
5573,51.08
17685,62.25
5948,51.17
5469,61.92
18736,50.92
17664,63.81
6319,53.41
5421,51.51
18648,62.27
18369,50.9
6065,51.08
18486,51.66
5259,63.29
18524,50.65
17774,50.78
5955,51.76
17701,51.79
6312,50.74
18094,52.39
17647,61.85
5515,49.63
18087,51.76
18278,51.37
18868,51.36
18764,51.28
5478,51.48
6091,50.73
18358,62.69
18570,50.79
17994,50.34
17931,51.01
18476,52.98
6314,62.5
5727,61.94
5879,51.81
6240,51.23
17663,62.93
18457,51.18
18562,62.83
17908,51.67
18183,52.62
5203,51.34
18658,51.11
18745,50.96
17889,63.21
5185,51
6161,50.85
5833,51.33
5348,51.58
6261,51.51
5841,51.09
5503,52.21
5187,51.24
18789,51.33
5674,51.25
18768,51.07
18430,50.57
5931,62.75
18787,50.85
5284,51.5
18544,50.34
18726,50.31
17907,51.33
17850,50.52
18073,50.77
5631,50.33
6190,50.06
5482,50.46
18865,51.29
18700,61.68
6234,51.55
5689,51.2
18585,51.82
17674,62.83
17875,50.72
5997,51.55
5405,62.51
18201,50.77
18575,51.78
5196,61.48
17709,51.18
5687,63.62
6284,51.64
6140,50.49
18352,50.84
17718,51.08
6247,51.55
18578,50.57
18135,62.64
6052,50.03
5132,49.74
5846,62.9
5138,51.6
5149,50.94
6321,50.08
18115,50.3
5688,52.41
5748,50.09
17793,52.48
5855,62.57
6305,50.86
18085,62.88
5404,51.54
5870,50.62
18866,51.44
5957,50.18
18138,50.2
6246,50.51
18643,63.53
6210,51.26
17843,49.85
18260,64.1
5667,51.67
18661,50.66
18319,50.93
5762,50.6
17727,50.19
18853,61.92
6251,50.25
18710,61.39
18809,51.52
6067,51.3
6138,50.03
5374,61.44
18408,50.4
5331,50.39
5194,62.75
18692,52.08
18668,50.94
5296,50.36
5546,51.1
5442,50.23
5699,61.55
18255,49.93
5744,61.78
18169,50.28
18343,49.19
17626,61.8
17878,50.81
5474,61.56
18653,50.6
5137,49.91
5602,48.27
5907,47.35
5779,46.23
18180,46.36
18188,62.42
18207,63.33
5379,48.92
18106,49.1
5783,48.28
17890,50.53
5866,51.34
18012,48.91
17711,50
6133,50.59
6071,50.87
5857,49.38
18462,61.69
5116,52.35
6136,62.49
17704,52.01
5662,50.52
17690,62.59
6131,52.09
18288,49.92
18203,61.39
18110,49
17743,52.14
5207,63
5298,52.76
5328,61.37
18238,61.29
5426,50.3
6298,51.21
6106,50.08
